GenerationFilters.Include	Resource	ShortTitle	Category	Possible Mitigation	References
target is Azure Key Vault	Azure Key Vault	A user may be able to gain access to privileged credentials due to overly permissive Azure Key Vault settings	Elevation of Privilege	"<p>Ensure that there is no Microsoft Azure user, group or application with full administrator privileges configured to access and manage Azure Key Vaults, in order to adhere to security best practices and implement the principle of least privilege (i.e. the practice of providing every principal the minimal amount of access required to perform its tasks).</p>

<p>Because Azure Key Vaults are storing sensitive and business critical data, you need to take actions to maximize the security of your vaults and the data stored in them. An important measure is to grant a principal (user, group or application) access to execute only specific operations for Azure Key Vault keys, secrets or certificates. This can be extremely useful when, for example, an Azure user with administrator-level permissions (full privileges) is used by an inexperienced person to access your Key Vault data, as his actions can lead to severe security issues, data leaks and data loss.</p>

<p>Note: Azure Key Vault access policies apply at the vault level. When a principal is granted permission to create, update and delete keys, he can perform these operations on all the keys available in that vault.</p>

"	"<p>Azure Key Vault security: <a href=""https://docs.microsoft.com/en-us/azure/key-vault/general/overview-security"">https://docs.microsoft.com/en-us/azure/key-vault/general/overview-security</a></p>
<p>Secure access to a key vault: <a href=""https://docs.microsoft.com/en-us/azure/key-vault/general/overview-security"">https://docs.microsoft.com/en-us/azure/key-vault/general/overview-security</a></p>
<p>Provide Key Vault authentication with an access control policy: <a href=""https://docs.microsoft.com/en-us/azure/key-vault/general/group-permissions-for-apps"">https://docs.microsoft.com/en-us/azure/key-vault/general/group-permissions-for-apps</a></p>

<p>Azure CLI Documentation:</p>
<p>az keyvault list: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list"">https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list</a></p>
<p>az keyvault show: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-show"">https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-show</a></p>
<p>az keyvault delete-policy: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-delete-policy"">https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-delete-policy</a></p> "
target is Azure Key Vault and not target.Key Vault Network Access Controls is 'Allow access from selected networks'	Azure Key Vault	An adversary can gain unauthorized access to Azure Key Vault instances due to weak network security configuration.	Elevation of Privilege	<p>Restrict access to Azure Key Vault instances by configuring firewall rules to permit connections from selected networks (e.g. a virtual network or a custom set of IP addresses).</p>	"<p>Access Azure Key Vault behind a firewall: <a href=""https://aka.ms/tmt-th179"">https://aka.ms/tmt-th179</a></p>"
target is Azure API Management	Azure API Management	Credentials and secrets may be exposed due to failure to manage them securely	Information Disclosure	"<p>While it is possible to store secrets within Azure API Management using named values and storing sensitive information in an encrypted format, this is not the preferred approach.</p>

<p>Using key vault secrets is recommended as granular access policies can be applied to secrets.  However, API Management cannot retrieve secrets from Azure Key Vault that exceed 4096 characters.</p>

"	"<p>Prerequisites for key vault integration: <a href=""https://docs.microsoft.com/azure/api-management/api-management-howto-properties?tabs=azure-portal#prerequisites-for-key-vault-integration"">https://docs.microsoft.com/azure/api-management/api-management-howto-properties?tabs=azure-portal#prerequisites-for-key-vault-integration</a></p>
<p>Use named values in Azure API Management policies: <a href=""https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-properties?tabs=azure-portal"">https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-properties?tabs=azure-portal</a></p>
<p>How to set or edit Azure API Management policies: <a href=""https://learn.microsoft.com/en-us/azure/api-management/set-edit-policies?tabs=form"">https://learn.microsoft.com/en-us/azure/api-management/set-edit-policies?tabs=form</a></p>

<p>Azure PowerShell Documentation:</p>
<p>az apim list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list</a></p>
<p>az apim nv list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim/nv?view=azure-cli-latest#az-apim-nv-list"">https://learn.microsoft.com/en-us/cli/azure/apim/nv?view=azure-cli-latest#az-apim-nv-list</a></p>
<p>az apim nv show: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim/nv?view=azure-cli-latest#az-apim-nv-show"">https://learn.microsoft.com/en-us/cli/azure/apim/nv?view=azure-cli-latest#az-apim-nv-show</a></p>
<p>az apim nv create: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim/nv?view=azure-cli-latest#az-apim-nv-create"">https://learn.microsoft.com/en-us/cli/azure/apim/nv?view=azure-cli-latest#az-apim-nv-create</a></p>
<p>New-AzKeyVault: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.keyvault/new-azkeyvault?view=azps-11.1.0"">https://learn.microsoft.com/en-us/powershell/module/az.keyvault/new-azkeyvault?view=azps-11.1.0</a></p>
<p>Set-AzKeyVaultAccessPolicy: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.keyvault/set-azkeyvaultaccesspolicy?view=azps-11.1.0"">https://learn.microsoft.com/en-us/powershell/module/az.keyvault/set-azkeyvaultaccesspolicy?view=azps-11.1.0</a></p>
<p>Set-AzKeyVaultSecret: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.keyvault/set-azkeyvaultsecret?view=azps-11.1.0"">https://learn.microsoft.com/en-us/powershell/module/az.keyvault/set-azkeyvaultsecret?view=azps-11.1.0</a></p>
<p>New-AzApiManagementContext: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/new-azapimanagementcontext?view=azps-11.1.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/new-azapimanagementcontext?view=azps-11.1.0</a></p>
<p>New-AzApiManagementKeyVaultObject: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/new-azapimanagementkeyvaultobject?view=azps-11.1.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/new-azapimanagementkeyvaultobject?view=azps-11.1.0</a></p>
<p>New-AzApiManagementNamedValue: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/new-azapimanagementnamedvalue?view=azps-11.1.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/new-azapimanagementnamedvalue?view=azps-11.1.0</a></p> "
target is Azure API Management	Azure API Management	Information may be disclosed due to weak authentication between apps and the API management backend.	Information Disclosure	"<p>Mutual TLS should be used to provide strong authentication to the API Management backend.</p>

<p>Set up integration of API Management with Azure Key Vault. Ensure that secrets for API Management (Named values) are stored an Azure Key Vault so they can be securely accessed and updated.</p>

<p>Use Azure Key Vault to create and control the certificate lifecycle, including creation, importing, rotation, revocation, storage, and purging of the certificate. Ensure the certificate generation follows standards defined in the Cryptography Security Policy without using any insecure properties, such as: insufficient key size, overly long validity period, insecure cryptography. Setup automatic rotation of the certificate in Azure Key Vault and the Azure service (if supported) based on a defined schedule or when there is a certificate expiration. If automatic rotation is not supported in the application, ensure they are still rotated using manual methods in Azure Key Vault and the application.</p>

"	"<p>Secure backend services using client certificate authentication in Azure API Management: <a href=""https://docs.microsoft.com/azure/api-management/api-management-howto-mututal-certificates"">https://docs.microsoft.com/azure/api-management/api-management-howto-mututal-certificates</a></p> "
target is Azure API Management	Azure API Management	Publicly accessible Azure API Management services may be subject to unauthorised access attempts and other attacks	Information Disclosure	"<p>Azure API Management services configured with a private endpoint should not be publicly accessible in order to enhance security by ensuring that the API service instance is only accessible from within your private network, over Azure Private Link, limiting exposure to potential external threats and unauthorized access.</p>

<p>When an Azure API Management service instance configured with a private endpoint is publicly accessible, it opens up the backend services to the public Internet, increasing the risk of unauthorized access, potential security breaches, and compliance violations. Therefore, it is vital to restrict access to these instances solely within the private network to maintain the security and integrity of the backend infrastructure.</p>

"	"<p>Use a virtual network to secure inbound and outbound traffic for Azure API Management: <a href=""https://learn.microsoft.com/en-us/azure/api-management/virtual-network-concepts"">https://learn.microsoft.com/en-us/azure/api-management/virtual-network-concepts</a></p>
<p>Deploy your Azure API Management instance to a virtual network - internal mode: <a href=""https://learn.microsoft.com/en-us/azure/api-management/api-management-using-with-internal-vnet"">https://learn.microsoft.com/en-us/azure/api-management/api-management-using-with-internal-vnet</a></p>
<p>Connect privately to API Management using an inbound private endpoint: <a href=""https://learn.microsoft.com/en-us/azure/api-management/private-endpoint"">https://learn.microsoft.com/en-us/azure/api-management/private-endpoint</a></p>
<p>PrivateLinkServiceConnectionState: <a href=""https://learn.microsoft.com/en-us/rest/api/apimanagement/api-management-service/create-or-update#privatelinkserviceconnectionstate"">https://learn.microsoft.com/en-us/rest/api/apimanagement/api-management-service/create-or-update#privatelinkserviceconnectionstate</a></p>
<p>Private Link: <a href=""https://azure.microsoft.com/en-us/products/private-link"">https://azure.microsoft.com/en-us/products/private-link</a></p>

<p>Azure CLI Documentation</p>
<p>az apim list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list</a></p>
<p>az apim show: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-show"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-show</a></p>
<p>az apim update: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-update"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-update</a></p> "
target is Azure API Management	Azure API Management	Sensitive information may be disclosed to unauthorised users if HTTPS is not enforced for Azure API Management APIs	Information Disclosure	"<p>Ensure that your Azure API Management APIs are configured to enforce HTTPS for all API calls in order to provide secure, encrypted communication, protect data integrity, user privacy, and comply with industry standards.</p>

<p>Enforcing HTTPS for all API calls within Azure API Management enhances security and protects sensitive data. It prevents interception, ensures authentication, and maintains compatibility with modern browsers. Following best practices demonstrates your commitment to data security.</p>

"	"<p>Authentication and authorization to APIs in Azure API Management: <a href=""https://learn.microsoft.com/en-us/azure/api-management/authentication-authorization-overview"">https://learn.microsoft.com/en-us/azure/api-management/authentication-authorization-overview</a></p>

<p>Recommendations to mitigate OWASP API Security Top 10 threats using API Management: <a href=""https://learn.microsoft.com/en-us/azure/api-management/mitigate-owasp-api-threats"">https://learn.microsoft.com/en-us/azure/api-management/mitigate-owasp-api-threats</a></p>

<p>Azure PowerShell Documentation:</p>
<p>az apim list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list</a></p>
<p>az apim api list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim/api?view=azure-cli-latest#az-apim-api-list"">https://learn.microsoft.com/en-us/cli/azure/apim/api?view=azure-cli-latest#az-apim-api-list</a></p>
<p>az apim api show: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim/api?view=azure-cli-latest#az-apim-api-show"">https://learn.microsoft.com/en-us/cli/azure/apim/api?view=azure-cli-latest#az-apim-api-show</a></p>
<p>az apim api update: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim/api?view=azure-cli-latest#az-apim-api-update"">https://learn.microsoft.com/en-us/cli/azure/apim/api?view=azure-cli-latest#az-apim-api-update</a></p> "
target is Azure API Management	Azure API Management	Sensitive information may be disclosed due to API Management API gateways being configured to use weak TLS ciphers	Information Disclosure	"<p>Ensure that your Azure API Management API gateways are not configured to use weak or deprecated TLS ciphers for client and backend communication. The following TLS ciphers are considered weak or deprecated:</p>

<p>TLS_RSA_WITH_AES_128_CBC_SHA<br/>
TLS_RSA_WITH_AES_256_CBC_SHA<br/>
TLS_RSA_WITH_AES_128_CBC_SHA256<br/>
TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA<br/>
TLS_RSA_WITH_AES_256_CBC_SHA256<br/>
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA<br/>
TLS_RSA_WITH_AES_128_GCM_SHA256<br/>
TLS_RSA_WITH_3DES_EDE_CBC_SHA (TRIPLE DES)</p>

<p>Weak or deprecated ciphers are vulnerable to security attacks and can expose sensitive data to unauthorized personnel. Ensuring that Azure API Management API gateways are not configured to use vulnerable TLS ciphers is crucial for maintaining a secure and compliant API infrastructure.</p>"	"<p>Manage protocols and ciphers in Azure API Management: <a href=""https://learn.microsoft.com/en-gb/azure/api-management/api-management-howto-manage-protocols-ciphers"">https://learn.microsoft.com/en-gb/azure/api-management/api-management-howto-manage-protocols-ciphers</a></p> 
"
target is Azure API Management	Azure API Management	Sensitive information may be disclosed due to Azure API Management API gateways being configured to use deprecated TLS protocols	Information Disclosure	"<p>Ensure that your Azure API Management API gateways are not configured to use weak and deprecated TLS protocols such as TLS 1.0 and TLS 1.1. To follow security best practices and protect your APIs from potential exploits that can target flaws in the older versions of the TLS protocol, ensure that your API gateways are using the the latest supported version of TLS.</p>

<p>The Transport Layer Security (TLS) protocol addresses network security problems such as tampering and eavesdropping between a client and a server. An Azure API Management service supports multiple versions of the TLS protocol to secure API traffic for both client side and backend side. Using weak and deprecated TLS protocols can increase opportunities for malicious activities such as hacking, Man-in-the-Middle (MITM) and downgrade attacks, therefore it is strongly recommended to use only the latest TLS version.</p>


"	"<p>Azure security baseline for API Management: <a href=""https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/api-management-security-baseline"">https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/api-management-security-baseline</a></p>

<p>Manage protocols and ciphers in Azure API Management: <a href=""https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-manage-protocols-ciphers"">https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-manage-protocols-ciphers</a></p>

<p>Azure PowerShell Documentation:</p>

<p>az apim list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list</a></p>
<p>az apim show: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-show"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-show</a></p>
<p>az apim update: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-update"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-update</a></p> "
source is Azure Data Factory	Azure Data Factory	Azure Data Factory may be used to conduct unauthorised data exfiltration due to failure to restrict outbound connections.	Information Disclosure	"<p>Attach an Azure Policy to the resource group containing the Azure Data Factory, specifying the trusted domains.  This policy can then be enforced by enabling outbound rules on the data factory.</p>

"	"<p>Outbound network rules using Azure Policy: <a href=""https://learn.microsoft.com/en-us/azure/data-factory/configure-outbound-allow-list-azure-policy"">https://learn.microsoft.com/en-us/azure/data-factory/configure-outbound-allow-list-azure-policy</a></p> "
source is Azure Data Factory	Azure Data Factory	"Credentials, secrets, or certificates used for Azure Data Factory may be exposed due to insecure management"	Information Disclosure	"<p>Credentials for data stores and computes should be stored in Azure Key Vault and retrieved using a Managed Identity for Data Factory.</p>

<p>Ensure the Secure Output option is used when retrieving the secret within Azure Data Factory to prevent the secret value from being logged in plain text.  Further activities that consume this secret should have their Secure Input option set to true.</p>

"	"<p>Store credentials in Azure Key Vault: <a href=""https://learn.microsoft.com/en-gb/azure/data-factory/store-credentials-in-key-vault"">https://learn.microsoft.com/en-gb/azure/data-factory/store-credentials-in-key-vault</a></p>
<p>Use Azure Key Vault secrets in pipeline activities: <a href=""https://learn.microsoft.com/en-us/azure/data-factory/how-to-use-azure-key-vault-secrets-pipeline-activities?source=recommendations"">https://learn.microsoft.com/en-us/azure/data-factory/how-to-use-azure-key-vault-secrets-pipeline-activities?source=recommendations</a></p> "
source is Azure Data Factory	Azure Data Factory	Credentials and secrets used in Azure Data Factory pipeline activities may be exposed due to failure to handle them security	Information Disclosure	"<p>Ensure the SecureOutput property is set to true in Azure Data Factory activity policy definitions to prevent secrets and credentials from being written to monitoring logs.</p>

"	"<p>Pipelines and activities Azure Data Factory - Activity policy JSON definition: <a href=""https://learn.microsoft.com/en-us/azure/data-factory/concepts-pipelines-activities?tabs=data-factory#activity-policy-json-definition"">https://learn.microsoft.com/en-us/azure/data-factory/concepts-pipelines-activities?tabs=data-factory#activity-policy-json-definition</a></p> "
target is Azure Data Factory	Azure Data Factory	Sensitive data may be disclosed due to failure to use suitable encryption-in-transit between Azure Data Factory and data sources.	Information Disclosure	"<p>Ensure pipelines are configured to require encryption-in-transit using protocols compliant with the Cryptography Security Policy.</p>

"	"<p>Security considerations for data movement in Azure Data Factory: <a href=""https://learn.microsoft.com/en-gb/azure/data-factory/data-movement-security-considerations#data-encryption-in-transit"">https://learn.microsoft.com/en-gb/azure/data-factory/data-movement-security-considerations#data-encryption-in-transit</a></p> "
target is Azure Data Lake Storage	Azure Data Lake Storage	Failure to enforce secure protocols for data encryption-in-transit with Azure Data Lake Storage may lead to data disclosure.	Information Disclosure	"<p>While Azure Storage uses TLS 1.2 on public HTTPS endpoints, TLS 1.0 and TLS 1.1 are still supported for backward compatibility.</p>
<p>To ensure clients do not connect with protocols that do not comply with the Cryptography Security Policy a minimum TLS version should be enforced.</p>
"	"<p>Enforce a minimum required version of Transport Layer Security (TLS) for requests to a storage account: <a href=""https://docs.microsoft.com/azure/storage/common/transport-layer-security-configure-minimum-version?tabs=portal"">https://docs.microsoft.com/azure/storage/common/transport-layer-security-configure-minimum-version?tabs=portal</a></p> 
"
target is Azure Data Lake Storage	Azure Data Lake Storage	Data may be exfiltrated from Azure Data Lake Storage due to failure to monitor for anomalous activity.	Information Disclosure	"<p>Defender for Storage continually analyzes the telemetry stream generated by the Azure Blob Storage and Azure Files services. When potentially malicious activities are detected, security alerts are generated. These alerts are displayed in Microsoft Defender for Cloud, together with the details of the suspicious activity along with the relevant investigation steps, remediation actions, and security recommendations.</p>
<p>Microsoft Defender for Storage is built into Microsoft Defender for Cloud. When you enable Microsoft Defender for Cloud's enhanced security features on your subscription, Microsoft Defender for Storage is automatically enabled for all of your storage accounts. You may enable or disable Defender for Storage for individual storage accounts under a specific subscription.</p>"	"<p>Configure Microsoft Defender for Storage: <a href=""https://docs.microsoft.com/azure/storage/common/azure-defender-storage-configure?tabs=azure-security-center"">https://docs.microsoft.com/azure/storage/common/azure-defender-storage-configure?tabs=azure-security-center</a></p> "
target is Azure Data Lake Storage	Azure Data Lake Storage	An adversary can abuse an insecure communication channel between a client and Azure Data Lake Storage.	Information Disclosure	"<p>Ensure that communication to Azure Storage is over HTTPS. It is recommended to enable the secure transfer required option to force communication with Azure Storage to be over HTTPS.</p>
"	"<p>Require secure transfer to ensure secure connections:  <a href=""https://learn.microsoft.com/en-us/azure/storage/common/storage-require-secure-transfer"">https://learn.microsoft.com/en-us/azure/storage/common/storage-require-secure-transfer</a></p>
<p>Use Client-Side Encryption to store sensitive data in Azure Storage.: <a href=""https://aka.ms/tmt-th65"">https://aka.ms/tmt-th65</a></p> "
target is Azure Data Lake Storage	Azure Data Lake Storage	An adversary can read sensitive data by sniffing unencrypted SMB traffic to Azure Data Lake Storage.	Information Disclosure	"<p>Use SMB 3.0 compatible client to ensure in-transit data encryption to Azure File Shares.</p>
"	"<p>Azure File Storage: <a href=""https://aka.ms/tmt-th19a"">https://aka.ms/tmt-th19a</a></p>
<p>Security recommendations for Blob storage: <a href=""https://aka.ms/tmt-th19b"">https://aka.ms/tmt-th19b</a></p> "
target is Azure Key Vault	Azure Key Vault	An attacker may be able to gain access using stolen credentials due to failure to rotate keys	Information Disclosure	"<p>Check for Microsoft Azure Key Vault keys that are about to expire soon and rotate them by creating a new version of these keys.</p>

<p>The expiration date attribute configured for an encryption key identifies the expiration time after which the Azure Key Vault key must not be used anymore for cryptographic operations. By following the cloud security best practices, all Microsoft Azure Key Vault keys must have an explicit expiration time, so that these keys can be renewed once these reach the end of their assigned lifetime. To meet security and compliance requirements within your organization, the Azure Key Vault keys must be renewed prior to their expiration date.</p>

"	"<p>Azure Key Vault basic concepts: <a href=""https://docs.microsoft.com/en-us/azure/key-vault/basic-concepts"">https://docs.microsoft.com/en-us/azure/key-vault/basic-concepts</a></p>
<p>CIS Microsoft Azure Foundations: <a href=""https://azure.microsoft.com/mediahandler/files/resourcefiles/cis-microsoft-azure-foundations-security-benchmark/CIS_Microsoft_Azure_Foundations_Benchmark_v1.0.0.pdf"">https://azure.microsoft.com/mediahandler/files/resourcefiles/cis-microsoft-azure-foundations-security-benchmark/CIS_Microsoft_Azure_Foundations_Benchmark_v1.0.0.pdf</a></p>

<p>Azure CLI Documentation:</p>
<p>az keyvault key: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest"">https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest</a></p>
<p>az keyvault list: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list"">https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list</a></p>
<p>az keyvault key list: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest#az-keyvault-key-list"">https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest#az-keyvault-key-list</a></p>
<p>az keyvault key show: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest#az-keyvault-key-show"">https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest#az-keyvault-key-show</a></p>
<p>az keyvault key set-attributes: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest#az-keyvault-key-set-attributes"">https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest#az-keyvault-key-set-attributes</a></p> "
target is Azure Key Vault	Azure Key Vault	Unauthorised access attempts may be made on Azure Key Vault if access from other Azure subscriptions is not restricted	Information Disclosure	"<p>Ensure that your Microsoft Azure key vaults are configured to allow access only to trusted Azure subscription in order to protect against unauthorized access. This approach strengthens security by minimizing the risk of unauthorized access to sensitive data stored in Azure key vaults.</p>

<p>It is crucial to avoid cross-subscription access to Azure Key Vault in order to maintain robust security boundaries and prevent unauthorized access to sensitive cryptographic materials. Allowing key vault resources to be accessed from different subscriptions can increase the risk of data breaches by broadening the attack surface and potentially exposing cryptographic assets to unauthorized users or services in other subscriptions.</p>

"	"<p>Azure Key Vault security: <a href=""https://docs.microsoft.com/en-us/azure/key-vault/overview-security"">https://docs.microsoft.com/en-us/azure/key-vault/overview-security</a></p>
<p>Azure role-based access control (Azure RBAC) vs. access policies (legacy): <a href=""https://learn.microsoft.com/en-us/azure/key-vault/general/rbac-access-policy"">https://learn.microsoft.com/en-us/azure/key-vault/general/rbac-access-policy</a></p>
<p>Provide access to Key Vault keys, certificates and secrets with an Azure role-based access control: <a href=""https://learn.microsoft.com/en-us/azure/key-vault/general/rbac-guide?tabs=azure-cli"">https://learn.microsoft.com/en-us/azure/key-vault/general/rbac-guide?tabs=azure-cli</a></p>

<p>Azure CLI Documentation:</p>
<p>az account list: <a href=""https://docs.microsoft.com/en-us/cli/azure/account?view=azure-cli-latest#az-account-list"">https://docs.microsoft.com/en-us/cli/azure/account?view=azure-cli-latest#az-account-list</a></p>
<p>az keyvault list: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list"">https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list</a></p>
<p>az role assignment list: <a href=""https://learn.microsoft.com/en-us/cli/azure/role/assignment?view=azure-cli-latest#az-role-assignment-list"">https://learn.microsoft.com/en-us/cli/azure/role/assignment?view=azure-cli-latest#az-role-assignment-list</a></p>
<p>az role assignment delete: <a href=""https://learn.microsoft.com/en-us/cli/azure/role/assignment?view=azure-cli-latest#az-role-assignment-delete"">https://learn.microsoft.com/en-us/cli/azure/role/assignment?view=azure-cli-latest#az-role-assignment-delete</a></p> "
target is Azure Key Vault and  ( target.Credential Type is 'Certificates' or  target.Credential Type is 'Secrets and Certificates' )	Azure Key Vault	Failure to set an appropriate minimum key size for Azure Key Vault RSA certificates may lead to information disclosure	Information Disclosure	"<p>Ensure that your Microsoft Azure Key Vault RSA certificates are generated with a minimum key size of 2048 bits as specified by the Cryptography Security Policy.</p>

<p>For most cryptographic functions, the key size (key length) is an important security parameter. Having the right key size set for your Azure Key Vault RSA certificates will enforce security best practices as specified in the compliance regulations implemented within your organization. For example, if your RSA certificates are used for applications that process and transfer highly sensitive and confidential data, you can enforce a key size of 4096 bits.</p>

"	"<p>About keys, secrets, and certificates: <a href=""https://docs.microsoft.com/en-us/azure/key-vault/general/about-keys-secrets-certificates"">https://docs.microsoft.com/en-us/azure/key-vault/general/about-keys-secrets-certificates</a></p>
<p>Get started with Key Vault certificates: <a href=""https://docs.microsoft.com/en-us/azure/key-vault/certificates/certificate-scenarios"">https://docs.microsoft.com/en-us/azure/key-vault/certificates/certificate-scenarios</a></p>
<p>Cryptography Security Policy <a href=""https://jsainsbury.sharepoint.com/sites/OurSainsburys-DoingYourJob/SitePages/Information-Security.aspx#policies"">https://jsainsbury.sharepoint.com/sites/OurSainsburys-DoingYourJob/SitePages/Information-Security.aspx#policies</a></p>

<p>Azure CLI Documentation:</p>
<p>az keyvault list: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list"">https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list</a></p>
<p>az keyvault certificate list: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/certificate?view=azure-cli-latest#az-keyvault-certificate-list"">https://docs.microsoft.com/en-us/cli/azure/keyvault/certificate?view=azure-cli-latest#az-keyvault-certificate-list</a></p>
<p>az keyvault certificate show: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/certificate?view=azure-cli-latest#az-keyvault-certificate-list"">https://docs.microsoft.com/en-us/cli/azure/keyvault/certificate?view=azure-cli-latest#az-keyvault-certificate-list</a></p>
<p>az keyvault certificate set-attributes: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/certificate?view=azure-cli-latest#az-keyvault-certificate-set-attributes"">https://docs.microsoft.com/en-us/cli/azure/keyvault/certificate?view=azure-cli-latest#az-keyvault-certificate-set-attributes</a></p> "
